TransDateTime	Symbol	Quantity	BuySell	FillPrice	OpenClose	HighDuringPosition	LowDuringPosition
2023-08-23 09:35:00	MESZ3	2	buy	447200	open	448000	446800
2023-08-23 11:00:00	MESZ3	2	sell	447900	close	448100	447000
2023-08-23 13:15:00	MESZ3	1	sell	447800	open	448200	447100
2023-08-23 14:55:00	MESZ3	1	buy	447000	close	447400	446600
2023-08-24 09:32:00	MESZ3	1	buy	447100	open	447900	446500
2023-08-24 10:45:00	MESZ3	1	sell	447600	close	447800	446800
2023-08-24 13:10:00	MESZ3	1	sell	447500	open	448000	446900
2023-08-24 14:35:00	MESZ3	1	buy	446800	close	447200	446300
2023-08-25 09:27:00	MESZ3	1	buy	446900	open	447600	446300
2023-08-25 10:55:00	MESZ3	1	sell	447500	close	447700	446700
2023-08-25 13:30:00	MESZ3	2	sell	447400	open	447900	446800
2023-08-25 15:10:00	MESZ3	2	buy	446600	close	447000	446200
2023-08-28 09:28:00	MESZ3	1	buy	446300	open	447100	445800
2023-08-28 10:55:00	MESZ3	1	sell	446900	close	447100	446200
2023-08-28 13:20:00	MESZ3	1	sell	447500	open	447900	446800
2023-08-28 14:48:00	MESZ3	1	buy	448100	close	448400	447300
2023-08-29 09:33:00	MESZ3	2	buy	446800	open	447600	446200
2023-08-29 11:05:00	MESZ3	2	sell	447600	close	447800	446900
2023-08-29 13:18:00	MESZ3	1	sell	447900	open	448200	447200
2023-08-29 15:00:00	MESZ3	1	buy	447400	close	447700	446800
2023-08-30 09:30:00	MESZ3	1	buy	447100	open	447500	446500
2023-08-30 10:52:00	MESZ3	1	sell	446600	close	447000	446200
2023-08-30 13:10:00	MESZ3	1	sell	446800	open	447200	446100
2023-08-30 14:42:00	MESZ3	1	buy	446300	close	446700	445900
2023-08-31 09:27:00	MESZ3	1	buy	447400	open	447900	446800
2023-08-31 10:58:00	MESZ3	1	sell	447000	close	447400	446500
2023-08-31 13:25:00	MESZ3	2	sell	447200	open	447600	446600
2023-08-31 15:05:00	MESZ3	2	buy	447600	close	447900	446900
2023-09-01 09:29:00	MESZ3	1	buy	446900	open	447600	446300
2023-09-01 10:50:00	MESZ3	1	sell	447700	close	447900	446900
2023-09-01 13:32:00	MESZ3	2	sell	447800	open	448200	447100
2023-09-01 15:12:00	MESZ3	2	buy	446900	close	447300	446200
2023-09-04 09:31:00	MESZ3	1	buy	447500	open	447900	446900
2023-09-04 10:54:00	MESZ3	1	sell	447200	close	447500	446800
2023-09-04 13:05:00	MESZ3	1	sell	447000	open	447300	446400
2023-09-04 14:47:00	MESZ3	1	buy	447300	close	447600	446700
2023-09-05 09:34:00	MESZ3	2	buy	446400	open	447300	445900
2023-09-05 11:02:00	MESZ3	2	sell	447200	close	447500	446600
2023-09-05 13:18:00	MESZ3	1	sell	447300	open	447600	446700
2023-09-05 15:03:00	MESZ3	1	buy	446800	close	447200	446200
2023-09-06 09:30:00	MESZ3	1	buy	446600	open	447300	446100
2023-09-06 10:56:00	MESZ3	1	sell	447100	close	447400	446500
2023-09-06 13:08:00	MESZ3	1	sell	447200	open	447500	446600
2023-09-06 14:50:00	MESZ3	1	buy	447500	close	447800	447000
2023-09-07 09:26:00	MESZ3	1	buy	447800	open	448600	447200
2023-09-07 10:55:00	MESZ3	1	sell	448500	close	448800	447900
2023-09-07 13:30:00	MESZ3	2	sell	448600	open	448900	447800
2023-09-07 15:10:00	MESZ3	2	buy	449200	close	449500	448500
2023-09-08 09:33:00	MESZ3	1	buy	447300	open	447900	446800
2023-09-08 10:58:00	MESZ3	1	sell	447900	close	448100	447200
2023-09-08 13:20:00	MESZ3	1	sell	448000	open	448400	447300
2023-09-08 14:55:00	MESZ3	1	buy	447500	close	447800	447000
